keyword,total_search_volume,naver_total,naver_mobile,naver_pc,google_monthly_average,naver_competition,google_competition,google_competition_index,google_bid_low_krw,google_bid_high_krw,google_search_volume_2025_07,google_search_volume_2025_08,google_search_volume_2025_09,google_search_volume_2025_10,google_search_volume_2025_11,google_search_volume_2025_12,google_search_volume_2026_01,google_search_volume_2026_02,google_search_volume_2026_03,google_search_volume_2026_04,google_search_volume_2026_05,google_search_volume_2026_06,source_coverage,in_lesson_segment,in_local_segment,in_audience_segment,in_jobs_segment,in_parent_segment,in_naver_discovered_segment
피아노,79580,39080,31300,7780,40500,중간,낮음,22,292,2962,40500,33100,49500,49500,60500,49500,33100,27100,40500,49500,49500,49500,google+naver,0,0,0,0,0,0
메트로놈,61680,21180,17700,3480,40500,중간,낮음,10,68,254,33100,33100,33100,33100,40500,33100,40500,33100,40500,40500,40500,40500,google+naver,0,0,0,0,0,0
마음 만은 피아니스트,34890,22790,14700,8090,12100,낮음,낮음,0,0,0,9900,12100,12100,12100,12100,12100,12100,9900,9900,12100,12100,9900,google+naver,0,0,0,0,0,0
피아노 악보,23860,11760,10100,1660,12100,높음,낮음,5,918,3940,12100,12100,12100,14800,14800,14800,14800,12100,12100,12100,14800,14800,google+naver,0,0,0,0,0,0
피아노 학원,22240,20640,19400,1240,1600,높음,낮음,12,733,2122,1600,1300,1300,1600,1600,1300,1300,1300,2400,1300,1300,1300,google+naver,1,0,0,0,0,0
전자 피아노,19430,15830,13000,2830,3600,중간,높음,95,59,747,3600,4400,4400,4400,4400,4400,3600,2900,3600,3600,3600,3600,google+naver,0,0,0,0,0,0
가상 피아노,17930,3130,2090,1040,14800,높음,낮음,0,981,2962,12100,9900,14800,14800,18100,14800,9900,8100,14800,18100,14800,14800,google+naver,0,0,0,0,0,0
쇼팽,15270,7170,5990,1180,8100,낮음,낮음,0,0,0,6600,6600,9900,12100,12100,6600,5400,5400,9900,9900,9900,12100,google+naver,0,0,0,0,0,0
신디사이저,14140,6040,4790,1250,8100,높음,중간,35,83,622,6600,6600,6600,8100,6600,8100,6600,6600,8100,8100,9900,8100,google+naver,0,0,0,0,0,0
히사이시 조,13190,9590,8260,1330,3600,낮음,낮음,0,293,2272,5400,3600,3600,3600,3600,2900,2900,2900,2900,4400,3600,5400,google+naver,0,0,0,0,0,0
디지털 피아노,12260,10660,8150,2510,1600,중간,높음,91,115,883,1600,1900,1900,1900,1900,1900,1600,1300,1600,1900,1600,1600,google+naver,0,0,0,0,0,0
야마하 전자 피아노,12010,11420,10300,1120,590,중간,높음,99,107,541,720,590,480,720,590,720,720,590,590,720,590,590,google+naver,0,0,0,0,0,0
실용 음악 학원,11710,10710,9660,1050,1000,높음,낮음,32,876,2534,1300,1000,880,880,1000,1000,1000,880,1300,880,880,880,google+naver,1,0,0,0,0,0
영창 피아노,9260,8260,6770,1490,1000,높음,중간,48,257,809,880,880,880,1000,880,880,880,880,880,2400,1900,1900,google+naver,0,0,0,0,0,0
피아노 게임,7670,1070,880,190,6600,중간,낮음,4,44,385,6600,5400,5400,6600,8100,6600,5400,5400,5400,6600,6600,6600,google+naver,0,0,0,0,0,0
피아노 연습실,7140,6660,6310,350,480,높음,낮음,17,58,1499,590,590,480,590,590,480,480,390,590,390,590,390,google+naver,0,0,0,0,0,0
오르간,7040,3440,2920,520,3600,높음,낮음,1,0,0,2900,2900,3600,3600,3600,3600,3600,2400,2900,3600,3600,3600,google+naver,0,0,0,0,0,0
그랜드 피아노,6870,3970,3320,650,2900,높음,낮음,20,69,556,2900,2900,3600,2900,3600,2900,2400,2400,2900,3600,2900,2900,google+naver,0,0,0,0,0,0
