group_level,area,facility_type,candidate_records,facility_count,valid_tuition_records,tuition_coverage_pct,registered_tuition_median_krw,registered_tuition_q1_krw,registered_tuition_q3_krw,registered_tuition_note,valid_hourly_records,hourly_tuition_median_krw,hourly_tuition_q1_krw,hourly_tuition_q3_krw,hourly_tuition_note,explicit_one_month_records,explicit_one_month_median_krw,explicit_one_month_q1_krw,explicit_one_month_q3_krw,explicit_one_month_note
district,강남구,academy,492,85,492,100.0,185000,160000,230000,,492,15811,11612,20000,,472,180000.0,160000.0,220000.0,
district,강동구,academy,393,67,393,100.0,160000,150000,180000,,393,9143,8571,15000,,393,160000.0,150000.0,180000.0,
district,강북구,academy,120,21,120,100.0,150000,130000,180000,,120,8214,7143,11905,,119,150000.0,130000.0,180000.0,
district,강서구,academy,458,95,458,100.0,160000,150000,180000,,458,9143,8095,15238,,453,160000.0,150000.0,180000.0,
district,관악구,academy,232,56,232,100.0,150000,130000,170000,,232,8650,7390,13890,,224,150000.0,130000.0,170000.0,
district,광진구,academy,149,25,149,100.0,160000,140000,210000,,149,10084,9524,11905,,148,165000.0,140000.0,211000.0,
district,구로구,academy,308,60,308,100.0,160000,140000,180000,,308,8571,7619,11905,,271,160000.0,140000.0,180000.0,
district,금천구,academy,120,27,120,100.0,150000,140000,170000,,120,8487,7143,9104,,120,150000.0,140000.0,170000.0,
district,노원구,academy,305,55,305,100.0,150000,130000,170000,,305,10119,8095,10944,,271,150000.0,130000.0,170000.0,
district,도봉구,academy,143,29,143,100.0,150000,130000,160000,,143,9714,8214,10931,,119,150000.0,130000.0,160000.0,
district,동대문구,academy,151,34,151,100.0,160000,137500,180000,,151,10204,7696,14286,,151,160000.0,137500.0,180000.0,
district,동작구,academy,138,33,138,100.0,160000,140000,190000,,138,9224,8571,15306,,137,160000.0,140000.0,190000.0,
district,마포구,academy,300,67,300,100.0,180000,160000,230000,,300,10286,8571,13587,,272,170000.0,160000.0,200000.0,
district,서대문구,academy,171,33,171,100.0,160000,140000,180000,,171,9714,8163,13333,,163,160000.0,140000.0,180000.0,
district,서초구,academy,576,65,576,100.0,250000,160000,750000,,576,21296,14286,66000,,353,180000.0,150000.0,260000.0,
district,성동구,academy,115,22,115,100.0,160000,140000,180000,,115,9714,8614,10114,,115,160000.0,140000.0,180000.0,
district,성북구,academy,248,47,248,100.0,160000,150000,190000,,248,9048,7619,10256,,248,160000.0,150000.0,190000.0,
district,송파구,academy,568,77,568,100.0,180000,150000,260000,,568,14286,8929,66000,,437,170000.0,150000.0,190000.0,
district,양천구,academy,396,72,396,100.0,160000,140000,180000,,396,8571,8000,13373,,396,160000.0,140000.0,180000.0,
district,영등포구,academy,312,57,312,100.0,160000,140000,190000,,312,9286,7619,15000,,305,160000.0,140000.0,180000.0,
district,용산구,academy,61,11,61,100.0,150000,130000,160000,,61,8964,7619,12381,,61,150000.0,130000.0,160000.0,
district,은평구,academy,284,55,284,100.0,160000,140000,180000,,284,9524,8000,12168,,277,160000.0,140000.0,180000.0,
district,종로구,academy,84,17,84,100.0,190000,160000,252500,,84,9354,7530,12412,,82,190000.0,162500.0,250000.0,
district,중구,academy,41,8,41,100.0,170000,150000,210000,,41,9048,8500,64800,,35,170000.0,147500.0,190000.0,
